Q25,Q19,Q18,Q23,Q24,Q27,,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,TOTAL,,Q42_1,Q42_2,Q42_3,Q42_4,Q42_5,Q42_6,Q42_7,Q42_8,Q42_9,Q42_10,Q42_11,Q42_12,Q42_13,Q42_14,Q42_15,Q42_16,Q42_17,Q42_18,Q42_19,Q42_20,Q42_21,Q42_22,Q42_23,Q42_24,Q42_25,Q42_26,Q42_27,Q42_28,Q42_29,Total Agression,,Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q41_6,Q41_7,Q41_8,Q41_9,Avoidance ,Anxiety,,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q44_7,Q44_8,Q44_9,Q44_10,Q44_11,Q44_12,Q44_13,Q44_14,Q44_15,Q44_16,Q44_17,Q44_18,Q44_19,Q44_20,Q44_21,Q44_22,Q44_23,Q44_24,Q44_25,Q44_26,Q44_27,Q44_28,Q44_29,Q44_30,Q44_31,Q44_32,Proximity Maintenance,Sensitivity,Controlling C,Compulsive C
scriptive of me' please indicate how descriptive each of the following statements are of you. - I sometimes ""miss"" or ""misread"" my partner's signals for help and understanding","Using the 6 point scale from 'not at all descriptive of me' to 'very descriptive of me' please indicate how descriptive each of the following statements are of you. - When my partner is crying or emotionally upset, I sometimes feel like withdrawing","Using the 6 point scale from 'not at all descriptive of me' to 'very descriptive of me' please indicate how descriptive each of the following statements are of you. - When my partner tells me about a problem, I sometimes go too far in criticising their own attempts to deal with it",Using the 6 point scale from 'not at all descriptive of me' to 'very descriptive of me' please indicate how descriptive each of the following statements are of you. - I create problems by taking on my partner's troubles as if they were my own,"Using the 6 point scale from 'not at all descriptive of me' to 'very descriptive of me' please indicate how descriptive each of the following statements are of you. - When helping my partner solve a problem, I am much more ""cooperative"" than ""controlling""",,,,
1.00,2.00,1.00,6.00,2.00,23,,5,6,6,6,5,5,2,6,7,48.00,,3,1,4,4,2,4,5,1,2,3,1,4,2,3,4,4,3,1,5,5,4,4,3,4,2,4,4,2,2,90,,7,4,5,7,3,1,1,2,2,27,5,,5,3,3,5,3,6,5,5,5,6,3,6,5,6,4,2,3,5,4,4,5,4,4,2,6,4,1,4,6,2,5,2,40,39,27,25
1.00,2.00,1.00,5.00,2.00,23,,7,7,7,7,1,1,1,1,1,33.00,,1,1,1,5,1,1,1,1,2,1,1,2,1,2,1,2,2,1,4,2,1,1,1,1,1,2,1,1,1,43,,7,7,7,7,1,1,1,1,1,30,3,,6,2,5,6,2,6,6,5,6,6,1,6,2,6,6,1,5,6,6,5,2,6,1,2,6,1,1,5,6,1,1,2,47,41,15,24
1.00,2.00,1.00,5.00,2.00,23,,7,7,7,7,2,2,2,5,2,41.00,,4,2,4,5,2,4,5,1,2,5,1,4,1,5,4,1,4,5,5,5,5,1,4,4,5,5,5,5,5,108,,2,6,6,6,2,2,2,2,2,24,6,,3,5,5,5,5,3,5,3,6,4,5,2,5,3,2,5,1,3,3,3,6,2,6,6,5,5,5,2,6,6,6,5,34,26,43,33
1.00,2.00,1.00,6.00,2.00,24,,5,6,6,6,3,6,2,2,6,42.00,,3,2,4,4,2,2,3,2,2,2,1,1,1,4,3,2,3,3,4,4,3,4,2,2,2,4,2,2,2,75,,6,6,6,6,2,2,2,2,2,28,6,,5,3,2,5,5,5,5,5,5,5,2,5,2,5,5,2,5,5,5,2,5,5,2,2,5,2,4,4,5,2,2,3,37,34,20,30
1.00,2.00,1.00,5.00,2.00,23,,7,7,7,7,1,2,1,1,1,34.00,,4,1,2,5,2,3,1,1,3,3,1,5,1,2,3,1,2,4,4,4,2,1,4,2,1,2,5,4,3,76,,7,7,7,7,1,1,1,1,1,30,3,,4,4,4,5,5,6,6,3,6,6,4,4,4,5,4,2,3,4,5,3,4,6,3,5,5,4,3,6,5,2,3,2,40,37,25,32
1.00,2.00,1.00,5.00,3.00,55,,6,5,5,5,5,5,1,1,1,34.00,,1,1,1,4,1,1,1,1,2,4,1,1,1,2,2,1,1,1,2,2,1,1,2,1,1,2,1,1,1,42,,4,6,7,7,1,1,1,1,1,26,3,,6,2,1,5,3,6,5,5,6,6,1,4,2,6,2,1,1,5,2,5,1,6,2,1,6,2,1,5,6,2,1,1,40,40,12,12
1.00,2.00,1.00,7.00,2.00,18,,6,6,6,5,3,6,2,2,2,38.00,,3,2,4,4,2,2,4,3,3,4,1,4,1,4,2,2,1,2,4,4,3,4,4,2,3,4,5,4,2,87,,5,4,6,3,5,5,1,5,3,28,9,,5,3,3,2,4,6,5,5,5,1,2,1,5,5,3,3,5,5,3,3,6,5,5,2,3,2,3,4,6,6,5,4,33,32,34,27
1.00,2.00,1.00,8.00,3.00,23,,7,6,6,3,4,3,5,4,5,43.00,,4,2,2,4,1,3,4,1,2,2,1,2,1,2,4,2,1,2,5,4,2,2,4,1,2,2,3,1,1,67,,3,7,3,3,5,5,3,5,6,26,14,,4,4,3,6,3,6,6,5,6,6,3,5,1,5,6,1,5,5,3,4,2,6,2,3,6,2,2,5,6,1,3,3,42,40,15,28
1.00,2.00,1.00,5.00,4.00,32,,7,7,7,7,1,1,1,5,5,41.00,,2,1,2,5,1,1,3,1,2,5,1,4,1,1,3,1,3,1,2,4,3,3,1,3,1,3,1,1,1,61,,6,7,7,7,1,1,1,1,1,29,3,,6,2,1,6,1,6,6,5,6,6,2,3,1,6,2,1,5,5,5,5,1,6,1,4,6,1,3,6,6,1,2,1,40,41,8,24
1.00,2.00,1.00,5.00,2.00,25,,6,7,7,5,1,1,1,2,2,32.00,,2,2,3,5,1,1,4,2,3,4,1,5,1,3,3,2,2,4,4,4,2,2,2,3,2,1,4,4,1,77,,6,6,6,6,1,1,1,1,1,26,3,,5,3,2,6,1,5,5,5,6,6,2,6,3,6,5,2,6,5,4,5,2,6,1,2,6,2,2,6,5,2,4,2,41,41,16,26
1.00,2.00,1.00,5.00,2.00,52,,7,6,6,6,2,2,1,1,1,32.00,,3,1,2,5,1,2,2,1,2,2,1,4,1,2,2,2,2,2,3,2,3,1,1,2,1,2,3,3,2,60,,7,6,6,6,2,1,2,2,2,28,6,,6,2,2,6,5,6,6,3,6,6,5,6,3,6,5,3,5,5,6,5,2,6,2,4,6,4,3,5,6,3,2,3,44,38,22,35
1.00,2.00,4.00,8.00,1.00,19,,3,3,3,3,5,5,5,2,3,32.00,,2,1,4,3,1,2,4,1,2,3,1,2,1,2,3,2,4,2,2,5,3,3,2,2,1,4,2,1,1,66,,2,5,2,1,3,3,2,5,7,16,14,,3,5,2,2,4,6,2,2,1,3,1,3,2,6,6,1,5,3,5,3,3,5,1,4,2,2,2,5,3,1,1,3,21,33,15,28
1.00,2.00,1.00,8.00,1.00,22,,7,7,7,7,2,2,4,5,7,48.00,,1,1,2,5,2,2,4,1,4,1,1,5,1,1,4,1,1,4,5,5,2,1,2,2,1,1,1,5,4,70,,5,5,6,7,3,1,3,5,3,27,11,,5,3,3,6,2,5,6,5,6,6,3,6,5,6,4,3,3,5,4,6,2,6,1,4,6,5,2,6,6,2,2,2,44,42,23,24
1.00,1.00,1.00,7.00,3.00,31,,6,6,6,5,5,3,6,2,4,43.00,,2,1,4,1,1,1,5,1,1,5,1,2,1,1,4,2,4,1,4,2,4,1,2,1,1,1,2,1,1,58,,3,6,3,2,7,6,6,4,6,27,16,,6,2,3,5,3,4,4,3,5,4,1,2,4,2,6,2,6,3,2,2,3,6,3,2,5,2,2,3,4,1,2,2,35,23,20,24
1.00,1.00,1.00,1.00,4.00,,,7,7,7,7,1,1,1,1,2,34.00,,1,1,3,5,1,4,4,1,2,2,1,4,1,4,4,1,1,1,4,3,3,1,1,5,1,2,4,4,1,70,,6,5,6,7,1,2,2,1,1,27,4,,6,2,4,6,4,5,5,3,6,5,2,6,3,5,5,2,5,2,6,2,4,6,5,2,6,3,3,5,6,2,2,5,45,29,28,29
1.00,2.00,1.00,6.00,2.00,23,,6,6,6,7,2,3,1,3,2,36.00,,1,1,2,5,1,1,1,1,1,3,1,2,1,2,1,3,3,1,2,3,2,2,1,2,1,1,2,1,1,49,,6,6,6,6,2,4,2,2,1,30,5,,6,2,1,6,2,5,6,6,6,5,1,6,1,5,4,1,2,5,2,5,2,6,1,2,6,1,2,4,4,1,1,2,41,37,10,16
1.00,2.00,1.00,8.00,1.00,20,,6,6,6,4,2,5,6,7,7,49.00,,2,2,4,4,3,3,4,1,3,2,1,4,1,1,5,3,3,3,3,4,3,2,4,3,4,2,2,2,1,79,,4,6,5,2,4,2,4,3,6,23,13,,5,3,4,3,4,6,4,3,4,6,3,1,3,6,6,1,6,4,5,3,4,4,1,6,5,4,3,5,2,2,4,2,29,36,21,37
1.00,1.00,1.00,5.00,2.00,26,,6,6,6,6,2,2,2,2,2,34.00,,1,1,3,4,2,1,2,1,2,2,1,4,1,1,2,2,2,2,4,2,2,1,1,3,1,4,4,4,1,61,,3,6,4,6,2,6,4,2,2,27,8,,5,3,2,5,2,5,5,5,6,5,2,6,2,4,5,1,5,2,3,4,3,5,4,1,5,2,1,4,5,2,2,3,39,32,19,21
1.00,1.00,1.00,2.00,2.00,40,,6,6,6,6,2,3,2,3,5,39.00,,2,3,4,4,3,2,2,1,2,5,1,3,3,4,2,1,4,1,2,2,3,4,1,3,1,3,1,4,1,72,,6,4,7,6,2,2,1,1,2,27,4,,6,2,1,6,2,6,6,5,6,6,2,3,3,6,6,1,3,5,5,5,2,6,2,3,6,2,1,5,6,1,1,2,40,40,14,23
1.00,2.00,1.00,6.00,3.00,,,7,5,6,6,2,6,6,6,6,50.00,,1,4,5,5,5,4,4,1,2,4,1,4,1,4,4,3,4,2,4,4,4,4,2,4,4,4,4,4,1,97,,3,3,6,7,5,7,2,3,2,31,7,,3,5,2,5,2,5,4,4,6,2,3,5,6,3,3,4,3,4,2,5,2,4,2,4,5,5,5,1,5,6,4,3,34,29,30,26
1.00,2.00,1.00,6.00,1.00,21,,2,6,6,5,2,3,6,5,6,41.00,,1,1,3,4,1,3,4,1,5,4,1,4,1,4,2,1,1,1,4,4,4,2,1,1,1,2,2,4,2,69,,5,6,7,6,2,2,1,2,4,28,7,,6,2,2,4,4,4,5,2,6,5,2,5,4,6,2,1,6,5,5,4,2,6,2,5,6,2,4,6,4,1,2,2,40,34,16,30
1.00,2.00,1.00,6.00,1.00,22,,6,5,5,5,5,3,3,2,3,37.00,,2,2,4,5,1,3,4,1,2,4,2,3,1,2,2,2,2,2,4,4,2,1,2,2,1,4,4,1,1,70,,5,6,6,7,1,1,1,1,1,26,3,,4,4,5,6,3,6,5,3,3,6,2,2,1,6,6,1,1,4,6,2,6,4,2,1,3,2,1,6,6,1,1,3,32,37,21,21
2.00,2.00,1.00,5.00,2.00,22,,7,7,7,7,1,2,1,1,1,34.00,,1,3,2,5,1,2,2,1,1,1,1,1,1,1,3,1,1,2,4,1,3,4,1,2,1,1,2,1,1,51,,6,7,6,7,1,1,1,1,2,28,4,,4,4,2,6,4,5,6,2,6,6,3,6,2,4,3,4,2,4,5,2,5,4,2,2,6,5,3,2,5,2,2,3,39,29,25,24
1.00,2.00,1.00,1.00,4.00,,,7,7,7,7,1,1,1,1,1,33.00,,3,1,4,5,1,2,4,1,2,2,1,2,1,2,4,1,2,2,4,3,3,2,1,2,1,4,4,2,2,68,,7,6,7,7,2,2,1,1,1,31,3,,4,4,2,4,3,6,5,4,5,6,2,6,2,5,4,2,5,4,2,5,3,5,2,2,5,2,1,5,6,2,1,2,38,39,17,20
1.00,2.00,1.00,5.00,1.00,22,,6,6,6,6,2,2,2,2,5,37.00,,4,1,4,5,1,5,5,1,2,4,1,4,1,4,2,1,1,2,4,2,4,1,2,4,2,4,5,2,1,79,,3,6,6,3,5,2,2,3,2,25,7,,5,3,2,6,3,5,5,5,6,5,4,3,5,3,5,5,3,4,2,4,3,5,2,4,6,5,4,5,6,2,1,4,38,34,28,26
5.00,1.00,1.00,5.00,1.00,23,,5,4,4,4,3,4,1,1,1,27.00,,3,5,4,5,2,4,3,1,1,5,3,3,4,4,1,3,2,2,3,3,4,4,1,1,4,3,4,4,2,88,,7,7,7,4,4,2,2,5,3,31,10,,5,4,5,4,4,5,4,3,3,4,3,3,4,5,3,2,5,2,5,3,4,4,4,1,3,5,2,5,5,4,5,2,32,31,30,28
1.00,1.00,1.00,6.00,2.00,28,,7,7,7,7,1,1,1,2,2,35.00,,1,1,3,5,1,1,1,1,2,2,1,1,1,2,1,4,1,1,1,1,4,3,1,1,1,1,1,1,1,46,,7,6,7,6,2,2,2,1,1,30,4,,6,2,1,5,4,6,5,5,6,4,1,6,3,5,2,1,3,2,2,3,3,6,1,1,6,1,1,6,6,1,1,2,42,33,13,15
1.00,2.00,1.00,1.00,2.00,43,,7,6,5,5,2,1,5,2,4,37.00,,2,1,4,5,2,5,2,1,2,1,1,1,1,1,2,1,4,1,2,2,2,3,1,4,4,1,4,1,1,62,,7,7,7,7,1,1,1,1,1,30,3,,5,3,2,6,2,5,5,4,6,3,1,4,3,4,4,2,4,3,1,3,4,6,3,4,5,4,2,5,5,5,3,3,38,30,26,21
1.00,2.00,1.00,6.00,1.00,21,,7,7,7,7,1,1,1,1,1,33.00,,2,2,1,5,2,3,1,1,1,1,1,3,1,1,1,2,1,2,3,1,1,2,2,1,1,1,2,1,1,47,,7,7,7,7,1,1,1,3,2,30,6,,5,3,4,6,4,5,5,5,5,6,3,2,5,4,2,5,4,4,3,5,3,6,4,4,5,5,4,6,4,4,4,3,36,38,33,28
1.00,1.00,1.00,5.00,2.00,25,,6,6,6,6,2,2,2,2,2,34.00,,1,1,4,4,1,2,4,1,2,4,1,2,1,2,3,3,1,1,2,3,2,2,2,1,1,2,1,1,1,56,,6,5,7,7,2,1,1,6,1,28,8,,4,4,3,6,2,5,5,5,5,5,2,4,4,4,2,4,4,4,4,3,3,5,3,2,5,5,3,4,5,3,3,3,36,34,28,22
1.00,1.00,1.00,5.00,2.00,22,,5,6,5,6,3,3,4,4,2,38.00,,4,1,1,5,1,2,4,1,3,4,1,3,1,3,1,1,1,3,4,3,4,1,1,1,1,1,2,2,1,61,,7,5,7,6,2,2,2,2,4,29,8,,6,2,1,2,3,3,6,4,6,5,4,3,2,4,3,2,4,2,3,4,1,6,1,2,6,2,4,4,6,2,1,1,40,28,12,24
1.00,2.00,1.00,8.00,2.00,25,,3,5,5,2,3,3,5,5,5,36.00,,4,1,5,4,4,4,5,1,4,4,2,4,1,4,5,2,4,2,5,5,4,2,5,5,4,2,4,4,1,101,,5,3,5,6,2,2,5,5,5,23,15,,5,4,1,5,5,6,6,5,6,6,3,1,4,5,5,2,3,4,6,6,2,6,1,4,6,5,2,5,6,3,2,2,37,41,20,30
